Median_Success_Rate,High School,Total_Instances,Success_Ranks,Corrected_Success_Ranks
9832.5,ÖZEL FİNAL AKADEMİ ANADOLU LİSESİ (ISPARTA - MERKEZ),2,"[3.294, 16.371]","[3294.0, 16370.999999999998]"
9886.0,BİGA ATATÜRK ANADOLU LİSESİ (ÇANAKKALE - BİGA),2,"[7.43, 12.342]","[7430.0, 12342.0]"
9924.333333333334,ÖZEL ACIBADEM DOĞA FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - ÜSKÜDAR),3,"[1.008, 10.165, 18.6]","[1008.0, 10165.0, 18600.0]"
9990.0,ÖZEL TURGUTREİS EGE UĞUR ANADOLU LİSESİ (MUĞLA - BODRUM),2,"[4.886, 15.094]","[4886.0, 15094.0]"
10031.5,ÖZEL TÜRMAK ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[7.721, 12.342]","[7721.0, 12342.0]"
10165.0,80. YIL CUMHURİYET ANADOLU LİSESİ (OSMANİYE - MERKEZ),1,[10.165],[10165.0]
10165.0,KASTAMONU KIZ ANADOLU İMAM HATİP LİSESİ (KASTAMONU - MERKEZ),1,[10.165],[10165.0]
10165.0,ÖZEL ANTALYA RENK ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,[10.165],[10165.0]
10165.0,ÖZEL FARKLI KALİTE MODERN FEN LİSESİ (BURSA - NİLÜFER),1,[10.165],[10165.0]
10165.0,AYVALIK ANADOLU LİSESİ (BALIKESİR - AYVALIK),1,[10.165],[10165.0]
10321.0,FETHİYE ANADOLU İMAM HATİP LİSESİ (MUĞLA - FETHİYE),1,[10.321],[10321.0]
10321.0,ÖZEL KOLEJ KARATARAKLI ANADOLU LİSESİ (İZMİR - KONAK),1,[10.321],[10321.0]
10321.0,ÖZEL CEYLANPINAR AÇI ANADOLU LİSESİ (ŞANLIURFA - CEYLANPINAR),1,[10.321],[10321.0]
10450.0,ÖZEL GAZİANTEP İŞLEM ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),3,"[1.391, 3.577, 26.382]","[1391.0, 3577.0, 26382.0]"
10521.0,UFUK ARSLAN ANADOLU LİSESİ (ANKARA - ETİMESGUT),2,"[3.659, 17.383]","[3659.0, 17383.0]"
10534.333333333334,ÖZEL ANTALYA BİLİM KOLEJİ ANADOLU LİSESİ (ANTALYA - MURATPAŞA),3,"[5.199, 8.58, 17.824]","[5199.0, 8580.0, 17824.0]"
10536.5,HALICI AHMET URKAY ANADOLU LİSESİ (MUĞLA - MARMARİS),2,"[6.066, 15.007]","[6066.0, 15007.0]"
10592.333333333334,ŞEHİT EYYÜP OĞUZ ANADOLU İMAM HATİP LİSESİ (ELAZIĞ - MERKEZ),3,"[3.294, 5.199, 23.284]","[3294.0, 5199.0, 23284.0]"
10597.732142857143,İZMİR FEN LİSESİ (İZMİR - BORNOVA),56,"[122.0, 286.0, 452.0, 1.008, 1.234, 1.242, 1.288, 1.603, 1.676, 1.763, 1.858, 2.053, 2.826, 2.887, 3.063, 3.356, 3.658, 3.771, 4.344, 4.377, 4.91, 5.145, 5.29, 5.361, 6.205, 6.639, 6.762, 7.43, 8.932, 9.025, 9.627, 10.321, 11.733, 12.201, 12.683, 13.324, 14.988, 15.094, 15.66, 17.018, 17.273, 17.31, 17.383, 17.828, 17.949, 18.246, 18.6, 19.963, 20.419, 22.581, 22.842, 23.272, 23.457, 25.654, 33.408, 36.073]","[122.0, 286.0, 452.0, 1008.0, 1234.0, 1242.0, 1288.0, 1603.0, 1676.0, 1763.0, 1858.0, 2053.0, 2826.0, 2887.0, 3063.0, 3356.0, 3658.0, 3771.0, 4344.0, 4377.0, 4910.0, 5145.0, 5290.0, 5361.0, 6205.0, 6639.0, 6762.0, 7430.0, 8932.0, 9025.0, 9627.0, 10321.0, 11733.0, 12201.0, 12683.0, 13324.0, 14988.0, 15094.0, 15660.0, 17018.0, 17273.0, 17310.0, 17383.0, 17828.0, 17949.0, 18246.0, 18600.0, 19963.0, 20419.0, 22581.0, 22842.0, 23272.0, 23457.0, 25654.0, 33408.0, 36073.0]"
10601.0,ÖZEL VİZYON ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),3,"[1.935, 2.053, 27.815]","[1935.0, 2053.0, 27815.0]"
10612.0,BÜYÜK SELÇUKLU ANADOLU LİSESİ (ADANA - SEYHAN),1,[10.612],[10612.0]
10612.0,BAHÇELİEVLER ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,[10.612],[10612.0]
10612.0,ÖZEL TARSUS GELECEK FEN LİSESİ (MERSİN - TARSUS),1,[10.612],[10612.0]
10612.0,ÖZEL ADANA AÇI KOLEJİ ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,[10.612],[10612.0]
10612.0,ÖZEL ŞEHİR KOLEJİ ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,[10.612],[10612.0]
10612.0,ÖZEL MALATYA FAHRİ KAYAHAN FİNAL AKADEMİ ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,[10.612],[10612.0]
10634.0,ÖZEL BURSA BİLFEN FEN LİSESİ (BURSA - MUDANYA),2,"[7.721, 13.547]","[7721.0, 13547.0]"
