High School,Total,New Graduates,Previous Graduates,Success Rank
ANKARA ATATÜRK LİSESİ (ANKARA - ÇANKAYA),2,2,0,945
NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),2,2,0,945
ODTÜ GELİŞTİRME VAKFI ÖZEL LİSESİ (ANKARA - ÇANKAYA),2,2,0,945
ÖZEL ANTALYA KOLEJİ MURATPAŞA FEN LİSESİ (ANTALYA - MURATPAŞA),1,1,0,945
ÖZEL ARTI BİLGİ FEN LİSESİ (SAMSUN - CANİK),1,1,0,945
ÖZEL BAFRA AÇI FEN LİSESİ (SAMSUN - BAFRA),1,1,0,945
ÖZEL BALIKESİR AÇI FEN LİSESİ (BALIKESİR - ALTIEYLÜL),1,0,1,945
ÖZEL BAŞARAN ANADOLU LİSESİ (KIRIKKALE - MERKEZ),1,1,0,945
ÖZEL BİLFEN ÇAYYOLU FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
ÖZEL BİLFEN KAYSERİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),1,1,0,945
ÖZEL BÜYÜK FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),6,5,1,945
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,945
ÖZEL ELAZIĞ FİNAL AKADEMİ FEN LİSESİ (ELAZIĞ - MERKEZ),1,1,0,945
ÖZEL EMİNE ÖRNEK FEN LİSESİ (BURSA - MUDANYA),1,1,0,945
ÖZEL GAZİANTEP BAL ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,945
ÖZEL İNCİRLİOVA BAHÇEŞEHİR ANADOLU LİSESİ (AYDIN - İNCİRLİOVA),1,1,0,945
ÖZEL İSTEK ANTALYA LARA FEN LİSESİ (ANTALYA - MURATPAŞA),1,1,0,945
