High School,Total_Instances,Success_Ranks
AYDEM FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),65,"[203.0, 1.603, 1.804, 1.935, 2.388, 2.681, 2.792, 2.887, 3.294, 5.145, 5.29, 5.787, 5.946, 5.947, 6.31, 6.399, 6.639, 7.32, 7.43, 8.58, 9.025, 9.589, 9.627, 10.901, 12.236, 12.342, 12.683, 12.9, 13.564, 14.988, 16.089, 17.273, 17.383, 17.828, 18.333, 18.464, 20.156, 22.037, 22.085, 22.161, 22.192, 22.669, 23.094, 23.323, 23.389, 23.457, 24.094, 24.752, 25.361, 25.811, 26.345, 26.805, 27.427, 27.516, 27.586, 28.1, 29.333, 29.446, 32.688, 34.037, 34.116, 34.888, 35.666, 38.038, 38.608]"
AHMET ERDEM ANADOLU LİSESİ (BURSA - NİLÜFER),64,"[1.288, 1.391, 2.053, 3.294, 4.27, 4.886, 5.145, 6.066, 6.31, 6.639, 7.296, 7.32, 7.42, 7.721, 8.071, 8.932, 9.162, 9.61, 10.165, 10.795, 11.277, 11.527, 11.733, 13.176, 13.177, 13.324, 15.819, 16.761, 17.132, 17.383, 17.828, 18.6, 20.06, 20.962, 21.103, 22.314, 22.581, 23.323, 23.36, 23.451, 23.884, 25.811, 26.044, 28.1, 28.236, 28.342, 28.376, 28.414, 29.182, 29.316, 29.446, 29.719, 30.09, 30.795, 32.334, 32.79, 34.163, 34.627, 35.36, 35.496, 36.067, 36.921, 38.2, 38.55]"
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),64,"[122.0, 286.0, 945.0, 1.008, 1.311, 1.348, 1.763, 2.887, 2.963, 3.294, 3.356, 3.658, 3.689, 4.886, 5.145, 5.361, 5.787, 5.947, 6.639, 7.42, 7.43, 7.721, 8.071, 9.025, 9.162, 9.589, 9.627, 11.277, 11.324, 12.201, 12.236, 12.286, 12.336, 12.342, 12.558, 13.125, 13.176, 13.177, 13.45, 14.136, 15.684, 16.371, 16.394, 16.409, 17.31, 17.488, 18.127, 19.963, 20.962, 22.085, 23.457, 23.884, 26.044, 26.676, 27.956, 28.74, 29.049, 29.446, 29.883, 33.408, 35.288, 35.417, 35.652, 35.831]"
SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),64,"[286.0, 1.348, 1.676, 1.763, 1.935, 2.388, 3.113, 3.294, 3.577, 3.689, 3.771, 4.686, 4.886, 4.91, 5.145, 5.29, 5.947, 6.639, 7.32, 7.43, 8.201, 9.025, 9.162, 9.589, 9.627, 9.716, 10.165, 10.321, 11.277, 11.733, 12.236, 13.176, 15.007, 15.038, 16.394, 17.828, 18.464, 18.6, 18.907, 19.498, 20.156, 22.181, 22.192, 22.314, 22.581, 23.36, 23.457, 23.884, 24.264, 24.51, 24.752, 25.811, 26.805, 27.595, 27.815, 27.956, 28.342, 29.049, 29.883, 30.038, 30.722, 35.496, 36.316, 37.839]"
HAYDARPAŞA LİSESİ (İSTANBUL - ÜSKÜDAR),63,"[1.008, 1.288, 1.311, 1.858, 2.086, 2.963, 3.063, 3.294, 3.658, 3.689, 3.771, 4.91, 5.145, 5.361, 5.725, 5.947, 6.399, 6.639, 7.296, 7.43, 7.572, 7.721, 8.071, 8.58, 9.627, 11.535, 11.733, 12.236, 12.342, 12.463, 13.176, 13.177, 13.547, 13.973, 14.398, 16.371, 16.394, 17.132, 17.162, 17.31, 17.949, 18.6, 19.963, 20.037, 20.06, 22.037, 22.581, 23.36, 23.884, 26.044, 26.805, 27.815, 27.956, 29.446, 29.827, 31.102, 31.383, 31.45, 33.932, 36.696, 38.243, 38.275, 39.047]"
HÜSEYİN GİRENES FEN LİSESİ (ANTALYA - ALANYA),63,"[945.0, 1.288, 2.388, 2.792, 2.826, 2.963, 3.577, 3.771, 4.122, 4.377, 5.29, 5.725, 7.296, 7.32, 7.43, 7.583, 8.201, 8.58, 9.589, 9.745, 12.342, 12.683, 13.25, 13.255, 13.973, 14.61, 14.988, 15.007, 15.217, 15.66, 16.052, 16.552, 16.761, 17.273, 17.383, 17.824, 17.828, 18.333, 21.103, 22.161, 23.884, 24.094, 26.044, 26.345, 26.474, 27.177, 27.427, 27.516, 27.815, 28.342, 29.333, 30.038, 30.913, 32.565, 33.878, 34.037, 34.2, 34.281, 35.666, 35.795, 38.2, 39.027, 39.123]"
YAŞAR ACAR FEN LİSESİ (İSTANBUL - BEYLİKDÜZÜ),62,"[452.0, 945.0, 1.008, 1.288, 1.348, 1.858, 2.053, 2.963, 3.294, 3.577, 3.771, 4.344, 5.145, 5.29, 5.725, 5.793, 5.947, 6.205, 6.31, 6.399, 6.545, 7.43, 7.571, 8.071, 8.58, 8.932, 9.025, 10.165, 10.901, 11.277, 11.733, 12.236, 12.286, 12.558, 13.125, 13.176, 13.177, 13.547, 15.094, 15.66, 16.089, 16.394, 17.018, 18.6, 18.907, 20.33, 21.156, 22.037, 23.583, 23.884, 26.044, 26.897, 27.427, 27.815, 27.956, 28.376, 31.493, 32.79, 33.408, 34.888, 35.472, 35.831]"
KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),61,"[203.0, 286.0, 1.008, 1.288, 1.348, 2.053, 2.963, 3.294, 3.356, 3.658, 3.689, 4.099, 4.27, 4.344, 4.377, 4.686, 5.725, 5.787, 5.946, 5.947, 6.639, 7.43, 7.721, 9.589, 10.165, 10.779, 11.277, 11.721, 11.733, 12.236, 12.342, 13.176, 13.485, 13.973, 15.038, 16.052, 16.371, 18.333, 18.6, 18.907, 20.037, 20.156, 21.103, 22.314, 22.581, 23.272, 23.284, 23.389, 23.448, 25.811, 26.805, 26.897, 27.586, 27.595, 27.815, 29.182, 29.446, 32.79, 33.863, 34.037, 35.652]"
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),60,"[945.0, 1.008, 1.242, 1.348, 1.603, 1.676, 1.763, 1.858, 1.935, 2.388, 2.392, 3.294, 3.356, 3.577, 3.659, 3.787, 4.122, 4.686, 5.145, 5.199, 5.29, 5.361, 5.725, 5.787, 6.399, 6.639, 7.43, 7.571, 8.201, 8.262, 8.58, 8.932, 9.627, 10.925, 12.236, 12.342, 13.176, 13.25, 13.485, 15.66, 20.245, 21.427, 22.161, 22.581, 23.272, 23.323, 23.884, 25.361, 25.654, 27.034, 27.586, 27.815, 28.1, 28.342, 34.037, 35.968, 37.002, 37.569, 38.243, 39.558]"
PROF. DR. NECMETTİN ERBAKAN FEN LİSESİ (İSTANBUL - BAĞCILAR),59,"[1.603, 1.763, 3.294, 3.658, 5.145, 5.725, 6.545, 6.762, 8.071, 9.295, 11.277, 11.324, 12.336, 12.342, 12.531, 13.176, 14.203, 14.565, 15.038, 16.371, 17.488, 18.453, 18.464, 18.6, 18.907, 19.139, 19.203, 20.037, 20.06, 20.538, 22.314, 23.448, 23.583, 23.884, 24.13, 24.589, 25.044, 25.78, 25.811, 26.474, 26.897, 27.516, 27.829, 27.956, 28.1, 28.376, 28.414, 28.704, 30.09, 31.45, 31.519, 32.348, 33.408, 34.531, 34.778, 34.888, 35.831, 36.316, 38.057]"
ŞEHİT TURGUT SOLAK FEN LİSESİ (BALIKESİR - KARESİ),59,"[945.0, 1.008, 1.242, 1.288, 1.311, 1.603, 1.858, 1.935, 2.887, 3.294, 3.771, 4.344, 4.377, 5.145, 5.29, 5.725, 6.639, 7.296, 7.32, 7.583, 8.58, 9.162, 10.165, 10.321, 10.795, 11.277, 11.733, 12.683, 13.125, 13.176, 14.988, 15.007, 15.038, 16.089, 17.828, 18.118, 18.6, 20.037, 20.419, 22.037, 22.161, 23.272, 23.323, 23.389, 23.457, 23.884, 24.094, 25.654, 26.345, 26.383, 26.805, 27.034, 28.342, 29.049, 30.038, 30.913, 33.097, 35.349, 35.666]"
GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),59,"[945.0, 1.311, 1.603, 1.935, 2.086, 2.792, 3.577, 3.659, 4.344, 4.377, 5.145, 5.29, 5.725, 6.128, 6.762, 7.43, 7.571, 8.201, 9.025, 9.627, 11.535, 13.176, 13.25, 13.324, 13.487, 13.973, 14.089, 14.136, 14.988, 15.007, 15.66, 17.018, 17.071, 18.127, 18.719, 19.442, 20.156, 23.094, 23.457, 23.517, 25.78, 26.18, 26.897, 27.165, 27.177, 27.427, 27.55, 27.956, 28.342, 28.414, 29.333, 29.719, 30.469, 31.45, 33.097, 35.288, 35.36, 36.271, 38.2]"
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),59,"[286.0, 945.0, 1.242, 1.348, 1.603, 1.935, 2.408, 2.792, 2.826, 3.294, 3.577, 4.099, 4.344, 4.377, 4.886, 4.91, 5.199, 5.29, 5.787, 6.639, 7.31, 7.32, 7.571, 8.201, 8.932, 9.162, 9.716, 12.342, 13.485, 13.973, 14.136, 15.66, 16.846, 17.273, 18.118, 20.538, 21.427, 22.161, 22.581, 22.669, 23.914, 24.13, 24.752, 25.78, 26.18, 26.345, 26.897, 27.034, 27.595, 28.704, 29.049, 29.065, 33.097, 34.285, 35.079, 35.496, 36.788, 36.937, 38.2]"
ŞANLIURFA FEN LİSESİ (ŞANLIURFA - HALİLİYE),58,"[286.0, 1.242, 1.288, 1.858, 2.887, 3.294, 3.577, 4.377, 5.145, 5.199, 5.29, 6.639, 7.32, 7.571, 8.201, 8.566, 9.716, 10.165, 10.612, 10.795, 12.201, 12.683, 13.125, 13.176, 13.25, 13.324, 13.487, 14.136, 14.61, 15.094, 15.66, 16.371, 16.846, 17.018, 17.273, 19.077, 19.32, 20.419, 21.156, 21.168, 21.427, 22.085, 22.669, 23.094, 23.448, 23.451, 25.654, 25.811, 26.382, 26.474, 27.311, 29.182, 29.19, 30.469, 34.531, 35.36, 35.496, 36.077]"
YAŞAR KIMIL FEN LİSESİ (DENİZLİ - PAMUKKALE),58,"[2.388, 3.294, 3.658, 4.377, 4.91, 5.725, 5.787, 6.399, 6.639, 7.43, 8.58, 9.162, 9.589, 9.627, 10.795, 12.342, 12.683, 14.089, 14.988, 15.038, 15.819, 16.089, 16.394, 16.761, 17.132, 17.273, 17.383, 17.824, 17.828, 18.333, 20.037, 20.06, 20.33, 20.419, 22.192, 23.272, 23.323, 23.389, 23.457, 24.094, 26.897, 27.177, 28.236, 28.342, 28.704, 29.065, 30.424, 31.45, 32.565, 34.285, 34.531, 34.675, 34.71, 35.349, 35.36, 35.496, 35.666, 38.057]"
YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),57,"[1.008, 1.288, 1.348, 1.858, 2.388, 2.792, 2.963, 3.294, 3.771, 4.686, 4.91, 5.145, 5.725, 6.639, 8.201, 10.901, 11.277, 11.7, 12.463, 13.125, 13.176, 13.547, 13.713, 13.973, 14.245, 15.038, 16.089, 16.371, 16.409, 18.662, 18.69, 18.907, 19.538, 20.06, 20.962, 22.192, 22.581, 23.451, 24.13, 24.589, 25.044, 26.044, 26.429, 26.897, 27.165, 27.815, 27.829, 28.1, 28.376, 29.049, 29.261, 30.424, 31.102, 31.45, 32.79, 33.408, 36.935]"
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),57,"[31.0, 363.0, 945.0, 1.008, 1.311, 1.858, 1.935, 2.053, 2.792, 3.294, 3.356, 3.577, 3.658, 4.27, 5.145, 5.199, 5.725, 6.639, 7.296, 7.31, 7.32, 7.42, 7.43, 7.571, 8.58, 9.589, 9.627, 9.716, 10.165, 10.386, 10.612, 11.277, 11.7, 12.201, 12.683, 14.136, 14.988, 16.761, 17.828, 19.077, 20.419, 21.168, 21.427, 22.575, 23.284, 23.517, 25.044, 26.897, 27.311, 28.704, 31.085, 32.228, 32.334, 33.097, 34.531, 34.627, 35.349]"
AKSARAY ŞEHİT PİLOT HAMZA GÜMÜŞSOY FEN LİSESİ (AKSARAY - MERKEZ),57,"[758.0, 1.348, 1.603, 1.935, 2.392, 2.408, 2.792, 3.294, 3.577, 3.658, 5.145, 5.199, 5.29, 5.787, 7.43, 7.571, 7.583, 8.201, 8.58, 9.627, 11.7, 13.125, 13.176, 13.25, 13.45, 13.973, 14.136, 14.988, 15.007, 16.552, 17.273, 19.32, 20.06, 20.156, 20.419, 21.103, 21.427, 22.161, 23.457, 23.646, 24.13, 25.654, 26.897, 27.034, 28.1, 28.414, 28.664, 29.333, 30.424, 30.795, 31.866, 32.565, 33.097, 33.565, 34.531, 35.496, 39.027]"
ADNAN MENDERES ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),57,"[1.008, 1.311, 1.763, 2.388, 3.294, 3.356, 3.658, 3.689, 4.686, 5.145, 6.399, 6.545, 6.639, 7.721, 8.071, 9.025, 10.484, 11.277, 11.324, 12.342, 12.558, 13.125, 13.45, 14.089, 15.038, 16.409, 18.6, 20.037, 21.156, 21.23, 21.534, 22.037, 22.192, 22.233, 22.314, 22.581, 23.36, 23.884, 24.768, 27.165, 27.829, 27.956, 28.342, 29.049, 29.261, 29.719, 30.774, 31.383, 31.493, 32.334, 33.408, 34.531, 35.652, 35.831, 38.057, 39.123, 39.225]"
AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),57,"[1.242, 1.348, 1.603, 1.676, 2.792, 2.826, 2.887, 3.294, 3.577, 3.658, 4.122, 4.377, 5.145, 5.199, 5.725, 7.32, 9.162, 9.716, 11.535, 12.342, 13.125, 13.176, 13.487, 13.547, 15.007, 16.371, 17.071, 17.273, 17.828, 18.719, 18.769, 19.22, 20.037, 21.103, 21.427, 22.581, 23.094, 23.284, 23.451, 23.517, 24.13, 26.18, 26.897, 27.427, 27.516, 27.815, 27.956, 28.376, 29.446, 30.038, 30.795, 31.544, 35.288, 35.36, 35.968, 38.2, 39.558]"
İSKENDERUN TOSÇELİK FEN LİSESİ (HATAY - İSKENDERUN),56,"[1.008, 1.348, 1.603, 1.804, 1.935, 2.792, 2.826, 3.577, 4.27, 4.377, 4.91, 5.725, 6.066, 6.639, 7.32, 8.201, 8.58, 8.734, 9.61, 9.627, 9.716, 10.612, 10.779, 10.901, 12.286, 13.176, 13.25, 14.61, 14.988, 15.684, 16.409, 17.018, 17.071, 17.273, 18.333, 20.156, 21.168, 22.085, 22.314, 22.842, 23.583, 25.654, 25.78, 26.383, 26.429, 29.704, 30.795, 33.565, 33.932, 34.2, 34.627, 35.079, 36.077, 38.2, 38.608, 39.392]"
ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),56,"[363.0, 1.008, 1.242, 1.288, 1.348, 1.858, 1.935, 2.887, 3.294, 3.577, 3.771, 4.344, 4.377, 5.199, 5.725, 6.31, 6.639, 7.296, 7.43, 8.58, 9.627, 10.612, 10.795, 11.277, 12.201, 13.176, 14.61, 14.988, 15.66, 16.394, 17.018, 17.273, 17.383, 17.824, 17.828, 18.12, 19.015, 19.442, 20.419, 22.161, 22.581, 23.284, 23.323, 23.451, 24.094, 24.752, 26.044, 27.516, 28.236, 29.333, 34.116, 34.285, 34.627, 35.666, 36.073, 38.608]"
PROF DR. FUAT SEZGİN FEN LİSESİ (İSTANBUL - SİLİVRİ),56,"[758.0, 1.348, 1.763, 3.294, 3.689, 4.686, 5.947, 6.639, 7.42, 7.43, 7.721, 9.61, 10.165, 10.901, 11.277, 11.733, 12.236, 12.342, 12.463, 13.125, 14.089, 15.819, 16.089, 17.071, 17.132, 17.273, 17.383, 18.127, 18.6, 20.037, 20.06, 20.419, 21.168, 22.314, 22.581, 23.094, 23.884, 24.51, 25.654, 26.897, 27.595, 29.049, 29.261, 29.446, 30.795, 31.383, 31.493, 32.995, 33.878, 34.116, 34.285, 36.548, 36.649, 38.057, 38.191, 38.243]"
İZMİR FEN LİSESİ (İZMİR - BORNOVA),56,"[122.0, 286.0, 452.0, 1.008, 1.234, 1.242, 1.288, 1.603, 1.676, 1.763, 1.858, 2.053, 2.826, 2.887, 3.063, 3.356, 3.658, 3.771, 4.344, 4.377, 4.91, 5.145, 5.29, 5.361, 6.205, 6.639, 6.762, 7.43, 8.932, 9.025, 9.627, 10.321, 11.733, 12.201, 12.683, 13.324, 14.988, 15.094, 15.66, 17.018, 17.273, 17.31, 17.383, 17.828, 17.949, 18.246, 18.6, 19.963, 20.419, 22.581, 22.842, 23.272, 23.457, 25.654, 33.408, 36.073]"
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),56,"[1.603, 1.935, 2.826, 2.887, 3.577, 3.658, 3.771, 4.377, 5.145, 5.787, 6.762, 7.32, 7.571, 8.071, 8.58, 9.627, 11.527, 11.535, 13.25, 13.255, 14.089, 14.136, 17.273, 18.118, 18.907, 19.32, 19.963, 20.33, 21.103, 21.427, 23.451, 23.517, 23.884, 24.461, 25.654, 25.78, 26.18, 26.345, 27.034, 27.311, 27.427, 27.516, 27.586, 27.956, 28.1, 28.664, 29.182, 31.544, 33.097, 35.288, 35.666, 35.968, 36.271, 36.548, 36.788, 39.392]"
REKABET KURUMU CUMHURİYET FEN LİSESİ (DİYARBAKIR - YENİŞEHİR),56,"[24.0, 286.0, 363.0, 1.008, 1.242, 1.935, 2.14, 2.408, 2.826, 2.887, 3.064, 3.294, 3.356, 3.577, 3.771, 4.035, 4.344, 5.145, 5.29, 5.787, 6.399, 6.639, 7.32, 7.43, 7.571, 8.071, 8.201, 8.58, 9.627, 10.165, 10.612, 10.795, 12.683, 13.176, 13.177, 14.61, 14.988, 15.038, 16.761, 17.273, 17.488, 18.246, 19.077, 23.284, 23.448, 23.457, 23.583, 26.382, 26.474, 27.177, 27.909, 29.19, 30.671, 30.796, 32.946, 36.794]"
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),56,"[122.0, 945.0, 1.008, 1.288, 1.311, 1.603, 1.763, 1.858, 2.388, 2.544, 3.294, 3.658, 3.771, 4.344, 4.91, 5.145, 5.361, 5.725, 5.946, 5.947, 7.32, 7.43, 7.721, 8.932, 9.025, 10.165, 11.733, 12.286, 12.463, 13.547, 14.203, 15.038, 16.052, 17.018, 17.89, 18.6, 19.963, 22.581, 23.272, 23.36, 23.431, 25.282, 26.044, 27.595, 27.815, 27.829, 27.956, 29.261, 30.774, 31.493, 31.788, 32.334, 32.995, 34.692, 37.31, 38.243]"
ŞEHREMİNİ ANADOLU LİSESİ (İSTANBUL - FATİH),55,"[1.008, 1.242, 1.763, 2.963, 3.035, 4.886, 5.361, 5.725, 5.947, 6.066, 6.545, 6.639, 7.43, 8.071, 10.484, 11.277, 11.733, 12.201, 12.336, 12.463, 13.125, 14.089, 14.61, 16.371, 16.409, 16.552, 17.949, 18.6, 20.43, 21.156, 21.427, 22.037, 22.314, 22.581, 23.36, 23.448, 23.884, 24.589, 26.044, 27.034, 27.165, 27.815, 27.956, 28.1, 28.414, 29.049, 31.102, 31.45, 31.519, 32.688, 33.408, 33.932, 36.794, 38.243, 39.28]"
PERTEVNİYAL LİSESİ (İSTANBUL - FATİH),55,"[122.0, 1.311, 1.348, 3.294, 3.689, 4.344, 5.145, 5.725, 6.399, 6.545, 6.639, 7.42, 7.43, 8.071, 9.025, 11.277, 11.733, 12.342, 13.125, 14.398, 16.409, 16.552, 17.488, 18.127, 18.464, 18.6, 18.907, 20.037, 20.06, 22.037, 22.192, 22.314, 22.581, 23.36, 23.451, 23.818, 23.884, 24.264, 24.461, 24.589, 27.165, 27.177, 27.595, 27.956, 29.049, 29.261, 29.883, 32.248, 33.408, 33.932, 35.079, 35.472, 35.831, 36.423, 38.275]"
BOLU FEN LİSESİ (BOLU - MERKEZ),55,"[1.603, 1.734, 1.935, 2.392, 2.792, 3.577, 5.199, 5.787, 6.639, 7.31, 7.571, 8.071, 8.262, 8.58, 9.61, 9.716, 10.321, 10.795, 11.527, 12.286, 13.176, 13.485, 13.547, 13.564, 14.089, 14.565, 15.007, 15.094, 17.273, 18.769, 18.907, 20.156, 20.33, 20.538, 21.103, 21.427, 22.314, 22.581, 23.272, 23.451, 26.383, 27.586, 27.75, 28.342, 29.049, 29.33, 30.424, 30.795, 32.228, 32.688, 32.79, 34.163, 35.496, 35.574, 36.548]"
KAHRAMANMARAŞ TOBB FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),54,"[1.008, 1.242, 1.348, 1.391, 1.603, 1.858, 1.935, 3.294, 3.577, 4.099, 5.199, 5.29, 6.639, 6.727, 7.43, 7.571, 9.295, 9.627, 9.716, 9.745, 10.165, 10.612, 12.683, 14.136, 14.398, 14.61, 16.761, 16.846, 17.071, 18.118, 18.333, 20.156, 20.419, 21.168, 22.575, 23.457, 23.583, 23.783, 25.044, 26.474, 27.034, 27.311, 28.414, 28.704, 29.049, 29.883, 30.722, 33.097, 35.496, 36.077, 36.548, 37.31, 39.047, 39.206]"
PROF. DR. NABİ AVCI FEN LİSESİ (İSTANBUL - ÜMRANİYE),54,"[1.348, 2.388, 3.689, 4.344, 5.145, 5.793, 5.947, 6.639, 7.43, 8.262, 9.162, 9.589, 10.901, 11.277, 11.7, 11.733, 12.236, 13.125, 13.177, 13.547, 13.713, 14.245, 14.988, 16.409, 17.162, 18.453, 18.6, 18.907, 19.139, 19.203, 19.963, 20.037, 20.156, 21.534, 22.314, 22.581, 23.36, 23.884, 24.264, 26.805, 27.165, 27.829, 27.956, 29.049, 29.182, 29.261, 29.719, 29.883, 31.102, 31.45, 31.493, 32.688, 33.408, 39.047]"
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),54,"[363.0, 1.288, 1.348, 1.419, 2.792, 3.294, 3.356, 3.658, 3.659, 4.344, 4.377, 4.686, 4.91, 5.145, 6.31, 6.639, 7.32, 7.721, 9.025, 9.627, 12.286, 12.683, 13.125, 13.176, 13.177, 13.547, 13.973, 15.007, 15.038, 16.371, 17.383, 18.6, 18.907, 19.705, 20.037, 20.156, 22.085, 23.272, 23.389, 23.884, 24.51, 24.589, 24.963, 27.165, 27.595, 28.565, 29.049, 30.469, 31.102, 33.408, 34.116, 34.2, 37.312, 38.057]"
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),54,"[286.0, 452.0, 945.0, 2.826, 3.577, 3.659, 4.84, 7.583, 7.721, 11.519, 11.527, 12.236, 13.176, 13.25, 13.255, 13.485, 14.61, 15.007, 16.052, 17.018, 17.273, 17.824, 17.828, 18.6, 19.22, 19.32, 19.498, 20.156, 20.245, 21.103, 22.669, 23.272, 23.323, 23.451, 25.654, 25.811, 26.345, 27.427, 27.516, 27.75, 28.74, 30.424, 30.608, 30.671, 31.866, 32.565, 34.163, 35.496, 35.574, 35.652, 36.073, 37.839, 39.027, 39.458]"
SİVAS FEN LİSESİ (SİVAS - MERKEZ),54,"[452.0, 1.242, 1.603, 1.935, 2.053, 3.063, 3.294, 3.356, 3.577, 4.377, 5.199, 5.787, 7.31, 7.43, 7.571, 8.071, 8.201, 9.162, 9.627, 11.277, 11.535, 13.125, 13.45, 13.487, 13.973, 14.136, 14.749, 15.66, 16.371, 17.018, 17.071, 17.273, 18.12, 18.907, 20.037, 21.427, 23.094, 23.517, 23.646, 23.783, 25.044, 25.654, 26.345, 26.897, 27.427, 27.516, 29.182, 31.544, 33.097, 34.627, 35.288, 35.652, 36.548, 39.392]"
TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),54,"[1.242, 1.603, 2.792, 3.577, 3.659, 3.787, 5.199, 6.31, 7.571, 7.721, 8.58, 9.175, 9.716, 11.519, 12.342, 13.25, 13.324, 13.45, 13.547, 13.564, 13.973, 15.007, 15.66, 17.071, 19.22, 19.32, 19.498, 20.156, 21.103, 22.314, 22.581, 23.323, 23.451, 25.78, 27.034, 27.586, 28.1, 30.424, 30.469, 30.795, 30.913, 31.866, 32.946, 34.163, 34.531, 34.675, 35.288, 35.36, 35.496, 36.271, 36.937, 39.047, 39.123, 39.392]"
NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),54,"[945.0, 1.288, 1.935, 2.408, 2.792, 3.294, 3.577, 3.689, 5.145, 5.199, 5.29, 6.31, 7.31, 7.32, 7.571, 8.071, 8.201, 8.58, 9.589, 9.627, 10.612, 11.535, 12.236, 12.286, 12.683, 13.25, 13.255, 13.485, 14.136, 14.61, 14.988, 15.819, 16.052, 17.273, 17.824, 18.118, 18.769, 18.907, 19.32, 19.498, 20.419, 22.085, 25.78, 27.034, 27.177, 27.516, 27.586, 28.414, 31.102, 31.544, 31.66, 33.097, 34.037, 39.392]"
15 TEMMUZ ŞEHİTLERİ FEN LİSESİ (ÇORUM - MERKEZ),53,"[1.348, 1.935, 2.053, 2.086, 2.388, 3.577, 3.787, 4.686, 5.145, 5.199, 5.787, 5.947, 7.43, 7.571, 8.58, 10.795, 10.901, 11.535, 12.201, 13.255, 13.487, 13.973, 14.136, 14.61, 17.071, 17.273, 19.32, 19.705, 20.156, 21.103, 23.094, 23.517, 24.13, 26.18, 26.345, 27.427, 27.516, 28.1, 28.376, 28.414, 28.565, 29.182, 30.424, 31.544, 32.79, 33.097, 34.116, 34.778, 35.079, 35.288, 35.574, 36.937, 39.558]"
KÖY HİZMETLERİ ANADOLU LİSESİ (İSTANBUL - KARTAL),53,"[3.063, 5.145, 5.725, 6.31, 6.399, 6.639, 7.296, 7.721, 8.071, 9.025, 9.295, 9.589, 10.901, 11.277, 11.733, 12.236, 12.463, 13.125, 13.973, 15.094, 16.089, 16.371, 16.394, 17.162, 18.127, 18.6, 20.06, 22.314, 22.581, 23.451, 23.884, 24.589, 27.165, 27.337, 27.427, 27.516, 27.595, 27.815, 27.829, 27.956, 28.376, 29.049, 29.446, 29.719, 29.883, 32.688, 33.05, 33.408, 33.854, 33.932, 35.079, 38.243, 38.298]"
SÜLEYMAN DEMİREL FEN LİSESİ (AFYONKARAHİSAR - MERKEZ),53,"[1.242, 1.311, 1.348, 1.763, 1.935, 2.408, 2.826, 3.577, 4.377, 4.91, 5.199, 5.29, 5.725, 5.787, 6.31, 7.32, 7.583, 8.201, 8.58, 9.627, 12.463, 12.683, 13.176, 13.25, 13.547, 13.973, 14.988, 15.684, 17.824, 17.828, 18.69, 19.22, 20.245, 22.161, 22.581, 23.094, 23.323, 23.389, 24.752, 25.361, 26.044, 26.345, 27.595, 28.342, 28.414, 32.228, 32.565, 34.285, 34.888, 35.417, 35.496, 35.666, 38.177]"
YAHYA AKEL FEN LİSESİ (MERSİN - YENİŞEHİR),53,"[945.0, 1.288, 1.804, 1.935, 2.408, 3.577, 3.659, 5.199, 5.787, 6.639, 7.43, 8.58, 9.162, 9.627, 9.716, 10.321, 10.612, 11.527, 12.463, 13.485, 14.61, 15.033, 15.094, 15.819, 16.371, 17.824, 19.22, 20.037, 20.06, 20.245, 21.427, 22.575, 22.581, 23.451, 26.429, 27.311, 27.427, 27.586, 27.75, 27.956, 28.1, 28.191, 28.414, 28.704, 29.333, 31.544, 32.565, 33.565, 34.037, 36.077, 37.31, 38.608, 39.392]"
AYDIN FEN LİSESİ (AYDIN - EFELER),53,"[203.0, 254.0, 286.0, 945.0, 1.008, 1.242, 1.348, 1.603, 1.858, 1.935, 2.086, 2.388, 2.408, 2.826, 3.035, 3.658, 3.771, 4.27, 4.377, 4.91, 5.145, 5.199, 5.29, 5.947, 6.399, 7.32, 7.43, 7.721, 8.262, 8.58, 10.321, 12.286, 12.683, 13.255, 13.485, 14.988, 15.038, 15.819, 17.273, 17.383, 17.828, 17.949, 18.333, 18.6, 19.139, 20.037, 20.419, 22.581, 23.457, 29.065, 29.182, 37.839, 38.057]"
